treat_num,tss_decile,turnout,n,se
0,30,0.5397508052278195,5021,0.007033930250062511
0,31,0.5264081596835763,7561,0.00574214021048042
0,32,0.5365596696446489,9368,0.0051520786531948064
0,33,0.5353328811152392,7303,0.005836228408052531
0,34,0.5299134750680733,9009,0.005258393583190699
0,35,0.5325503103709305,7242,0.005862981160955999
0,36,0.530843202970778,8762,0.005331390728295202
0,37,0.534645813452911,6986,0.005967749804915262
0,38,0.5420774485392639,8523,0.005396726906891877
0,39,0.5316068775553963,6862,0.00602386448664181
0,40,0.5331569866878735,8290,0.005479434235912611
0,41,0.5548948715296979,6490,0.006168993408434088
0,42,0.5304195727672784,8075,0.0055538417194129506
0,43,0.5442763887764844,6728,0.006071800882990184
0,44,0.5385081321321271,7928,0.005598817850391148
0,45,0.5291738141344394,6428,0.006225748075958182
0,46,0.5271994520910279,7555,0.005743931160465611
0,47,0.5435599944484781,6244,0.006303534680548199
0,48,0.5489728340630878,7590,0.005711575071058409
0,49,0.5417056635800095,6147,0.006355099091917474
0,50,0.5449625292553525,7541,0.005734458722177371
0,51,0.5459944400435399,6257,0.006294215648427421
0,52,0.532365929711309,7462,0.005776045118567644
0,53,0.5430035351840966,6219,0.006316804999352955
0,54,0.5535808858680972,7264,0.005832758779689682
0,55,0.5632988457869313,6063,0.006369682957577234
0,56,0.5433570655244623,7383,0.005797150781309875
0,57,0.5503712646420612,5963,0.006442026398980766
0,58,0.5470738033902536,7154,0.00588521335520506
0,59,0.5354424262092563,5977,0.006451111295404231
0,60,0.5619201795535684,7244,0.00582941155838819
0,61,0.5512178997490419,6126,0.006354639575208232
0,62,0.5625713724806525,7364,0.005780767802926191
0,63,0.5657523794063514,5943,0.006429527425722881
0,64,0.558112445903788,7502,0.005733610788391946
0,65,0.5549406901258852,6091,0.006367778236282552
0,66,0.5683917184517973,7348,0.005778088395353572
0,67,0.5578719238948997,6178,0.006318548855152349
0,68,0.5810094619230602,7525,0.005687749463889759
0,69,0.5638778369690254,6086,0.00635668392222277
0,70,0.5822265765907405,4042,0.007757437096574806
1,30,0.5386349392461757,27839,0.002987739963307597
1,31,0.5437241534693005,41345,0.002449579588360915
1,32,0.5409580023399945,49435,0.0022412521336558975
1,33,0.5336125292049285,40372,0.0024828261693462003
1,34,0.5392958005329418,48527,0.0022627307714889328
1,35,0.5364052271326138,39476,0.002509858257941574
1,36,0.5351510660642644,47958,0.0022775272685608017
1,37,0.5411483721149567,39228,0.0025159165574399392
1,38,0.5380394099625293,47194,0.002294912404754318
1,39,0.5296523927808333,38330,0.0025493856045461488
1,40,0.5379277293500234,46454,0.0023131583380956574
1,41,0.5414724796888256,38039,0.0025547967318522813
1,42,0.5343694160427881,46315,0.00231782536852318
1,43,0.5348822421108524,37284,0.002583148066137094
1,44,0.5350406169575933,45594,0.0023358612214371237
1,45,0.534886441745701,37056,0.0025910812147768776
1,46,0.5329452029686651,45190,0.0023469510224120773
1,47,0.5427789598245193,36651,0.002602146188566748
1,48,0.5431776039111561,44639,0.0023576937525158718
1,49,0.5416608126942183,36226,0.002617863586550836
1,50,0.5486269242481969,44767,0.002351946224494652
1,51,0.5430178884033433,37191,0.00258307930748463
1,52,0.5409490685504962,44850,0.0023530296596881817
1,53,0.5475068188437049,36707,0.0025979233884921957
1,54,0.5468814148963365,45069,0.002344841863349299
1,55,0.5459441682095767,36767,0.0025965676801633416
1,56,0.5500769576442209,45265,0.0023382965129377527
1,57,0.5519955611040462,36935,0.0025875568457179826
1,58,0.5479335956832785,45158,0.0023420584622462185
1,59,0.5573939524438495,37189,0.0025756245013680594
1,60,0.5555528264707401,45386,0.002332447088997799
1,61,0.555368415736689,37354,0.0025711190502800308
1,62,0.5557695127834745,46769,0.0022975898182458804
1,63,0.5518292790515196,38601,0.0025311905025701916
1,64,0.5565243858908627,47707,0.0022744998775357348
1,65,0.5609206702785747,39790,0.0024879133406270804
1,66,0.5612617148335518,49135,0.0022386695698282015
1,67,0.5635394547811302,40144,0.002475280024931794
1,68,0.5659135863750603,49890,0.0022189954150601747
1,69,0.5710354095685132,41559,0.0024277820567229313
1,70,0.5724947019085688,27688,0.002973108054498996
