pid_3_pre,battleground,date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_trump_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,pro_democrat,pro_republican,democrat,republican,independent,pro_democrat_d,pro_republican_d,democrat_d,republican_d,independent_d,battleground_d,ad_match
Democrat,0,2016-06-20,ad_id_fac42,0.07514559351804193,0.0549005959048754,1.3687573382307985,0.17155536371304855,-0.03266147463402659,0.18295266167011043,640,general_vote_HC,42,Moments,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,1,1,0,0,0,0,0,0,547.483870967742,-0.8823529411764706,0,0.9411764705882353,-0.058823529411764705,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,-2.5768500948765904,-0,2.242828440674119,1,0,1,0,0,0.38235294117647056,-0.38235294117647056,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad"
Democrat,0,2016-07-04,ad_id_fac45,-0.012394256756363825,0.06173131669738077,0.20077745655617463,0.8409394057440555,0.10883704637757809,-0.13362555989030572,611,general_vote_HC,45,Stop Clinton,Anti Clinton,nra political victory fund,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,547.9354838709677,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-2.1252371916508537,0,-0.2808907244112082,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-07-18,ad_id_fac48,0.04462908057452672,0.05882749682557344,-0.7586432022911708,0.4483624416779407,0.160160747112049,-0.07090258596299556,603,general_vote_HC,48,Same Old,Anti Clinton,rebuilding america now,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,548.3870967741935,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-1.6736242884250032,0,-0.22775979461993173,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-08-01,ad_id_fac51,-0.060060204001173345,0.06154194680414357,0.9759230430638496,0.3295270130503276,0.06082293756302784,-0.18094334556537453,556,general_vote_HC,51,Outsource,Anti Clinton,rebuilding america now,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,548.8387096774194,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-1.2220113851991528,0,-0.1746288648286552,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-08-22,ad_id_fac56,0.0312835361347171,0.0860370320987005,0.3636054774510243,0.7164148487572457,-0.13804538342708317,0.20061245569651737,293,general_vote_HC,56,Depend,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,1,1,0,0,0,0,0,0,549.516129032258,-0.8823529411764706,0,0.9411764705882353,-0.058823529411764705,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,-0.5445920303604908,-0,0.44965956021873704,1,0,1,0,0,0.38235294117647056,-0.38235294117647056,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad"
Democrat,0,2016-08-22,ad_id_fac57,0.0031973399357115573,0.08982619988578794,-0.03559473672243628,0.9716297425908976,0.17998369581039905,-0.17358901593897594,293,general_vote_HC,57,2 Americas: Immigration,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,549.516129032258,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,-0.5445920303604908,0,-0.09493247014175377,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-08-29,ad_id_fac58,0.032168537921252766,0.07768418312996664,-0.4140937913633511,0.6791213173799658,0.18508535386402625,-0.12074827802152072,281,general_vote_HC,58,2 Americas: Economy,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,549.741935483871,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,-0.3187855787475655,0,-0.0683670052461155,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-09-12,ad_id_fac61,-0.13823117327434273,0.09027761082034874,1.531178904916092,0.126834389933413,0.039464288650784024,-0.3159266351994695,285,general_vote_HC,61,Deplorables,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,550.1935483870968,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.13282732447828494,0,-0.015236075454838953,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-09-26,ad_id_fac64,-0.09598357619978032,0.10742195210445493,0.8935191952800098,0.3725736458689064,0.11574589405540675,-0.3077130464549674,216,general_vote_HC,64,Defenseless,Anti Clinton,nra political victory fund,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,550.6451612903226,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,0.5844402277040217,0,0.03789485433642421,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
Democrat,0,2016-10-03,ad_id_fac65,0.039308238411438406,0.10557902219488964,-0.37231106704965344,0.7100148372667402,0.247368484576081,-0.16875200775320418,223,general_vote_HC,65,50-pts?,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,550.8709677419355,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.8102466793169469,0,0.06446031923206247,0,1,1,0,0,-0.6176470588235294,0.6176470588235294,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad"
