pid_3_pre,battleground,date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,pro_democrat,pro_republican,democrat,republican,independent,pro_democrat_d,pro_republican_d,democrat_d,republican_d,independent_d,battleground_d,ad_match,date_group
Democrat,0,2016-03-14,ad_id_fac4,0.064880861981192,0.24099128535740308,-0.26922493020845206,0.7879487063535543,0.5392014607221428,-0.40943973675975875,289,favorDT_rev,4,Scam,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,544.3225806451613,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-3.377073081829735,-0.3086277889495356,-1.814831975733075,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",1
Democrat,0,2016-03-14,ad_id_fac5,0.05972319988704339,0.26524837653565725,-0.22515953035065916,0.822014298809844,0.5817867615916543,-0.4623403618175675,289,favorDT_rev,5,Man of People,Anti Trump,american future fund,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,544.3225806451613,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-3.377073081829735,-0.3086277889495356,-1.814831975733075,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",1
Democrat,0,2016-03-14,ad_id_fac6,0.29160514387477154,0.2172559620779525,-1.3422192932507058,0.18057836185154497,0.719209726588327,-0.13599943883878396,289,favorDT_rev,6,Plain Wrong,Anti Trump,cruz,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,544.3225806451613,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-3.377073081829735,-0.3086277889495356,-1.814831975733075,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",1
Democrat,0,2016-03-21,ad_id_fac8,0.4408006865362153,0.18201255379398143,-2.4218147449057503,0.016214459339750787,0.7994175930984875,0.08218377997394305,231,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,544.5483870967741,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-3.1512666302169237,-0.3086277889495356,-1.7306329598774504,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",2
Democrat,0,2016-04-05,ad_id_fac8,0.5388866702410845,0.2952638388576776,-1.825102160582683,0.06932940659283993,1.120765301048598,-0.042991960566429066,222,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,545.0322580645161,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-2.6673956624749735,-0.3086277889495356,-1.5502064973296044,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",4
Democrat,0,2016-04-25,ad_id_fac24,-0.08056053279237155,0.21620733381832546,-0.372607771298197,0.7099882336301138,-0.5079105578673514,0.34678949228260825,144,favorDT_rev,24,Broken,Pro Trump,trump,TRUE,FALSE,target_candidate,0,0,0,0,0,0,1,0,0,545.6774193548387,-0.6271186440677966,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,0.943502824858757,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-2.022234372152411,0.1885473522934023,0.7125964915532538,0,1,1,0,0,-0.7005649717514124,0.7005649717514124,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad",7
Democrat,0,2016-05-09,ad_id_fac26,0.10233293787756131,0.19149325875325168,-0.534394466645023,0.5937668288256348,0.48034383005518005,-0.2756779543000574,170,favorDT_rev,26,Unifier,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,546.1290322580645,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-1.5706214689265607,-0.3086277889495356,-1.1412398488878235,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",8
Democrat,0,2016-05-09,ad_id_fac27,-0.03902948502824119,0.1921931566784551,0.20307427019130908,0.8393198388916774,0.3403630173473653,-0.41842198740384773,170,favorDT_rev,27,Harrassment,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,546.1290322580645,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-1.5706214689265607,-0.3086277889495356,-1.1412398488878235,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",8
Democrat,0,2016-05-23,ad_id_fac8,0.08717420025152259,0.1934368952543995,-0.45065963314224516,0.652812520169429,0.46903806171670104,-0.2946896612136559,169,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,546.5806451612904,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-1.1190085657007103,-0.3086277889495356,-0.9728418171764894,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",10
Democrat,0,2016-05-23,ad_id_fac33,0.14455172390245827,0.21754047383128594,-0.664481975958946,0.5072875155606849,0.5739984706201846,-0.284895022815268,169,favorDT_rev,33,Speak,Anti Trump,priorities usa,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,546.5806451612904,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-1.1190085657007103,-0.3086277889495356,-0.9728418171764894,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",10
