subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
428,2,31,3,NA,NA,3,NA,NA,single_best,control,naive,NA,NA,NA,0,NA,7,video
428,2,31,3,NA,NA,3,NA,NA,single_best,control,naive,NA,NA,NA,0,NA,4,video
429,2,32,1,1,NA,1,1,NA,naive,targeting,naive,NA,cov_profile_2,NA,0,0,4,control
429,2,32,1,1,NA,1,1,NA,naive,targeting,naive,NA,cov_profile_2,NA,0,NA,3,control
429,2,32,1,1,NA,1,1,NA,naive,targeting,naive,NA,cov_profile_2,NA,1,NA,6,control
430,2,61,2,NA,1,2,NA,1,naive,targeting,single_best,NA,cov_profile_2,NA,0,0,2,control
430,2,61,2,NA,1,2,NA,1,naive,targeting,single_best,NA,cov_profile_2,NA,0,NA,7,control
430,2,61,2,NA,1,2,NA,1,naive,targeting,single_best,NA,cov_profile_2,NA,1,NA,4,control
431,2,30,1,1,NA,1,1,NA,naive,control,targeting,NA,NA,cov_profile_1,0,1,5,video
431,2,30,1,1,NA,1,1,NA,naive,control,targeting,NA,NA,cov_profile_1,1,NA,1,video
431,2,30,1,1,NA,1,1,NA,naive,control,targeting,NA,NA,cov_profile_1,0,NA,7,video
432,2,35,1,1,NA,1,1,NA,naive,targeting,control,NA,cov_profile_1,NA,0,1,5,video
432,2,35,1,1,NA,1,1,NA,naive,targeting,control,NA,cov_profile_1,NA,0,NA,1,video
432,2,35,1,1,NA,1,1,NA,naive,targeting,control,NA,cov_profile_1,NA,1,NA,7,video
433,1,35,2,NA,1,1,1,NA,single_best,targeting,naive,NA,cov_profile_3,NA,0,1,5,video
433,1,35,2,NA,1,1,1,NA,single_best,targeting,naive,NA,cov_profile_3,NA,0,NA,1,video
433,1,35,2,NA,1,1,1,NA,single_best,targeting,naive,NA,cov_profile_3,NA,1,NA,7,video
434,2,19,3,NA,NA,2,NA,2,single_best,NA,targeting,NA,NA,cov_profile_1,0,0,3,control
434,2,19,3,NA,NA,2,NA,2,single_best,NA,targeting,NA,NA,cov_profile_1,1,NA,NA,control
434,2,19,3,NA,NA,2,NA,2,single_best,NA,targeting,NA,NA,cov_profile_1,NA,NA,NA,control
435,2,56,1,1,NA,1,1,NA,single_best,single_best,single_best,NA,NA,NA,0,0,5,control
435,2,56,1,1,NA,1,1,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,1,control
435,2,56,1,1,NA,1,1,NA,single_best,single_best,single_best,NA,NA,NA,0,NA,7,control
436,2,27,1,1,NA,3,NA,NA,targeting,control,control,cov_profile_2,NA,NA,1,1,5,video
436,2,27,1,1,NA,3,NA,NA,targeting,control,control,cov_profile_2,NA,NA,0,NA,1,video
436,2,27,1,1,NA,3,NA,NA,targeting,control,control,cov_profile_2,NA,NA,0,NA,7,video
437,2,23,1,2,NA,1,2,NA,single_best,control,single_best,NA,NA,NA,0,0,5,control
437,2,23,1,2,NA,1,2,NA,single_best,control,single_best,NA,NA,NA,0,NA,1,control
