subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
543,2,32,3,NA,NA,3,NA,NA,single_best,single_best,targeting,NA,NA,cov_profile_3,1,NA,4,video
543,2,32,3,NA,NA,3,NA,NA,single_best,single_best,targeting,NA,NA,cov_profile_3,0,NA,4,video
544,2,68,2,NA,2,2,NA,2,single_best,control,targeting,NA,NA,cov_profile_3,0,1,5,video
544,2,68,2,NA,2,2,NA,2,single_best,control,targeting,NA,NA,cov_profile_3,1,NA,7,video
544,2,68,2,NA,2,2,NA,2,single_best,control,targeting,NA,NA,cov_profile_3,0,NA,6,video
545,2,73,1,2,NA,3,NA,NA,naive,single_best,control,NA,NA,NA,0,1,4,video
545,2,73,1,2,NA,3,NA,NA,naive,single_best,control,NA,NA,NA,0,NA,7,video
545,2,73,1,2,NA,3,NA,NA,naive,single_best,control,NA,NA,NA,0,NA,3,video
546,2,56,2,NA,2,3,NA,NA,single_best,naive,naive,NA,NA,NA,0,0,3,control
546,2,56,2,NA,2,3,NA,NA,single_best,naive,naive,NA,NA,NA,0,NA,7,control
546,2,56,2,NA,2,3,NA,NA,single_best,naive,naive,NA,NA,NA,0,NA,5,control
547,2,71,1,1,NA,2,NA,1,targeting,naive,targeting,cov_profile_3,NA,cov_profile_1,1,1,5,video
547,2,71,1,1,NA,2,NA,1,targeting,naive,targeting,cov_profile_3,NA,cov_profile_1,1,NA,5,video
547,2,71,1,1,NA,2,NA,1,targeting,naive,targeting,cov_profile_3,NA,cov_profile_1,0,NA,7,video
548,2,69,1,1,NA,1,2,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_3,1,0,2,control
548,2,69,1,1,NA,1,2,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_3,1,NA,6,control
548,2,69,1,1,NA,1,2,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_3,0,NA,6,control
549,2,30,2,NA,2,4,NA,NA,single_best,targeting,naive,NA,cov_profile_1,NA,0,1,1,video
549,2,30,2,NA,2,4,NA,NA,single_best,targeting,naive,NA,cov_profile_1,NA,0,NA,3,video
549,2,30,2,NA,2,4,NA,NA,single_best,targeting,naive,NA,cov_profile_1,NA,1,NA,7,video
550,2,68,2,NA,1,2,NA,1,targeting,single_best,targeting,cov_profile_3,NA,cov_profile_1,1,1,4,video
550,2,68,2,NA,1,2,NA,1,targeting,single_best,targeting,cov_profile_3,NA,cov_profile_1,1,NA,3,video
550,2,68,2,NA,1,2,NA,1,targeting,single_best,targeting,cov_profile_3,NA,cov_profile_1,0,NA,4,video
551,2,53,2,NA,1,2,NA,2,targeting,single_best,single_best,cov_profile_1,NA,NA,1,1,3,video
551,2,53,2,NA,1,2,NA,2,targeting,single_best,single_best,cov_profile_1,NA,NA,0,NA,7,video
551,2,53,2,NA,1,2,NA,2,targeting,single_best,single_best,cov_profile_1,NA,NA,0,NA,5,video
552,2,51,3,NA,NA,4,NA,NA,targeting,targeting,targeting,cov_profile_2,cov_profile_2,cov_profile_3,1,0,1,control
552,2,51,3,NA,NA,4,NA,NA,targeting,targeting,targeting,cov_profile_2,cov_profile_2,cov_profile_3,1,NA,4,control
552,2,51,3,NA,NA,4,NA,NA,targeting,targeting,targeting,cov_profile_2,cov_profile_2,cov_profile_3,1,NA,2,control
553,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,2,28,3,NA,NA,3,NA,NA,targeting,naive,single_best,cov_profile_1,NA,NA,1,0,4,control
554,2,28,3,NA,NA,3,NA,NA,targeting,naive,single_best,cov_profile_1,NA,NA,0,NA,5,control
554,2,28,3,NA,NA,3,NA,NA,targeting,naive,single_best,cov_profile_1,NA,NA,0,NA,7,control
555,2,23,3,NA,NA,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,1,4,video
555,2,23,3,NA,NA,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,NA,3,video
555,2,23,3,NA,NA,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,NA,6,video
556,2,75,1,1,NA,3,NA,NA,naive,naive,naive,NA,NA,NA,0,0,3,control
