comparison,b,lwr,upr
target vs. single_best,0.150172986155903,0.04668585673950712,0.25366011557229884
target vs. naive,0.2513410882539551,0.13794703539973013,0.3647351411081801
single_best vs. naive,0.098626730300459,-0.017110231449293523,0.21436369205021152
target vs. control,0.35760031121697744,0.24379247940518256,0.4714081430287723
single_best vs. control,0.20877972884161244,0.09254238209186941,0.3250170755913555
naive vs. control,0.10766153515022224,-0.01748032829754738,0.23280339859799187
