treat_num,tss_bucket,turnout,n,se
0,30-40 (Biden lean),0.5338907862390971,80357,0.0017597792786242157
0,40-50 (Slight Biden),0.5394773245546737,71171,0.0018683600525297539
0,50-60 (Slight Trump),0.5463560030101254,67127,0.0019215284746345934
0,60-70 (Trump lean),0.5644470646402057,68189,0.00189878119161417
1,30-40 (Biden lean),0.5377549401959753,440904,7.508554271176911e-4
1,40-50 (Slight Biden),0.5382128096052013,412668,7.760640381517044e-4
1,50-60 (Slight Trump),0.548470562936274,410095,7.771009843727173e-4
1,60-70 (Trump lean),0.5607199975490317,443406,7.453203107032591e-4
